uid,sid,rating
0360937a-0a38-429b-9d7f-d0b79f591fe3,469,2.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,465,3.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,149,1.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,464,4.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,398,4.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,200,2.5
0360937a-0a38-429b-9d7f-d0b79f591fe3,503,3.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,403,3.5
0360937a-0a38-429b-9d7f-d0b79f591fe3,418,4.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,261,2.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,481,4.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,406,2.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,426,1.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,238,3.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,484,5.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,167,3.5
0360937a-0a38-429b-9d7f-d0b79f591fe3,415,4.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,380,3.5
0360937a-0a38-429b-9d7f-d0b79f591fe3,443,3.0
0360937a-0a38-429b-9d7f-d0b79f591fe3,264,4.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,370,2.5
f6fe0e09-985f-4be7-b777-66d0e0118bb5,288,3.5
f6fe0e09-985f-4be7-b777-66d0e0118bb5,404,4.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,382,4.5
f6fe0e09-985f-4be7-b777-66d0e0118bb5,204,4.5
f6fe0e09-985f-4be7-b777-66d0e0118bb5,334,4.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,458,3.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,505,4.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,500,5.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,506,2.5
f6fe0e09-985f-4be7-b777-66d0e0118bb5,465,3.5
f6fe0e09-985f-4be7-b777-66d0e0118bb5,492,3.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,296,2.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,469,3.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,451,2.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,438,3.5
f6fe0e09-985f-4be7-b777-66d0e0118bb5,503,3.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,83,3.0
f6fe0e09-985f-4be7-b777-66d0e0118bb5,426,3.5
f6fe0e09-985f-4be7-b777-66d0e0118bb5,244,3.0
370f7b10-fad2-4a56-b378-64fb4a48cb1b,460,2.0
370f7b10-fad2-4a56-b378-64fb4a48cb1b,80,2.0
370f7b10-fad2-4a56-b378-64fb4a48cb1b,418,1.5
370f7b10-fad2-4a56-b378-64fb4a48cb1b,150,3.0
370f7b10-fad2-4a56-b378-64fb4a48cb1b,84,1.5
370f7b10-fad2-4a56-b378-64fb4a48cb1b,345,1.0
370f7b10-fad2-4a56-b378-64fb4a48cb1b,462,1.5
370f7b10-fad2-4a56-b378-64fb4a48cb1b,224,4.0
370f7b10-fad2-4a56-b378-64fb4a48cb1b,465,1.5
370f7b10-fad2-4a56-b378-64fb4a48cb1b,491,2.5
370f7b10-fad2-4a56-b378-64fb4a48cb1b,438,1.0
370f7b10-fad2-4a56-b378-64fb4a48cb1b,261,1.5
370f7b10-fad2-4a56-b378-64fb4a48cb1b,67,3.5
370f7b10-fad2-4a56-b378-64fb4a48cb1b,411,4.5
370f7b10-fad2-4a56-b378-64fb4a48cb1b,244,1.0
370f7b10-fad2-4a56-b378-64fb4a48cb1b,410,2.0
370f7b10-fad2-4a56-b378-64fb4a48cb1b,88,2.5
370f7b10-fad2-4a56-b378-64fb4a48cb1b,436,3.0
370f7b10-fad2-4a56-b378-64fb4a48cb1b,507,3.0
370f7b10-fad2-4a56-b378-64fb4a48cb1b,74,2.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,392,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,19,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,88,3.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,456,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,391,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,506,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,447,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,249,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,230,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,233,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,481,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,489,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,296,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,22,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,385,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,398,5.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,250,2.5
a1d6e69b-4858-44ba-82f9-b19453f2b242,34,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,227,1.0
a1d6e69b-4858-44ba-82f9-b19453f2b242,369,1.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,235,3.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,413,2.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,202,3.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,19,3.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,397,2.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,340,4.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,456,2.5
fb9333af-fb07-434b-bfe3-dfa0490dd970,428,3.5
fb9333af-fb07-434b-bfe3-dfa0490dd970,149,3.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,326,2.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,453,3.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,203,3.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,100,2.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,82,3.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,500,3.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,403,2.0
fb9333af-fb07-434b-bfe3-dfa0490dd970,223,2.5
